,assists,visionScore,timeCCingOthers,deaths,kills,longestTimeSpentLiving,champLevel,totalHeal,totalDamageDealtToChampions
0,25,50,16,5,17,1144,18,5174,42926
1,15,40,21,14,24,534,18,5230,74122
2,22,52,33,17,8,535,18,4231,33462
3,29,51,31,7,7,756,18,22912,30497
4,20,36,50,10,10,466,18,6750,48215
5,12,29,55,15,8,1003,18,19872,29891
6,12,39,14,13,14,447,18,10520,53361
7,16,76,72,15,11,756,18,8853,28391
8,18,70,55,12,8,955,18,11545,52869
9,13,54,82,11,12,1220,18,4484,71334
10,14,36,68,8,3,707,18,4630,24019
11,16,27,83,10,8,639,18,6996,40472
12,14,30,5,12,9,792,18,7162,29164
13,17,49,15,15,8,472,18,23415,32233
14,11,37,11,13,19,463,18,11549,51695
15,29,75,122,6,1,971,18,9381,25572
16,17,24,17,13,12,490,18,11067,45320
17,18,38,29,11,4,569,18,6670,26990
18,10,52,47,6,29,806,18,10644,68074
19,16,62,53,11,11,520,18,16451,37102
20,10,34,18,6,7,804,17,6125,20765
21,10,28,48,8,3,968,17,4080,32378
22,5,44,21,3,10,1379,18,12553,20436
23,8,27,50,8,3,812,17,3138,19665
24,9,35,7,6,5,913,18,3976,17132
25,4,57,14,6,10,798,18,6443,35045
26,9,60,25,6,8,694,18,24235,24541
27,17,81,47,5,5,780,18,5535,17200
28,13,32,17,7,0,714,18,3122,11383
29,8,19,33,4,8,803,18,8879,24911
30,13,45,8,9,10,461,18,4380,27737
31,23,34,89,5,2,1549,18,1719,38718
32,17,42,28,8,8,900,18,9283,33627
33,16,35,31,6,8,1230,18,8688,16485
34,8,32,13,11,10,528,18,15046,31009
35,21,95,66,7,3,1136,18,9920,11824
36,18,55,25,8,3,600,18,15878,14592
37,9,8,23,8,8,686,18,4117,23503
38,10,21,17,9,12,595,18,2526,28564
39,10,38,4,6,13,1135,18,9677,47951
40,17,43,86,10,6,823,18,3627,40589
41,17,42,18,9,8,516,18,12205,51355
42,11,42,34,11,13,837,18,12920,26213
43,13,16,60,5,10,838,18,4369,31312
44,8,42,37,5,9,990,18,22550,30205
45,10,42,25,5,11,915,18,23687,29167
46,12,37,58,9,7,756,18,4964,28953
47,12,22,56,12,12,488,18,6179,47029
48,9,24,30,9,10,818,18,2224,36652
49,23,64,45,11,0,497,18,19255,6649
50,15,39,44,11,5,953,18,10679,23702
51,21,129,84,11,3,662,18,16761,14448
52,18,39,0,7,7,1083,18,10741,43836
53,17,42,50,5,16,910,18,2228,91034
54,10,32,24,10,6,596,18,7094,44478
55,28,126,49,7,3,566,18,10324,9556
56,17,41,25,5,4,639,18,10001,22696
57,19,35,62,8,12,1276,18,26456,61378
58,12,29,17,4,22,974,18,13014,64310
59,19,86,59,13,3,488,18,29642,20123
60,13,22,89,5,11,825,18,7075,43444
61,14,76,30,8,8,725,18,17234,25711
62,13,28,5,8,10,1233,18,8180,33614
63,11,62,22,4,20,1181,18,7232,46257
64,22,59,46,6,6,1415,18,5349,21062
65,19,66,41,5,3,646,18,5540,9628
66,6,18,17,10,11,613,18,11358,42328
67,13,21,22,7,6,1027,18,5240,28057
68,7,24,17,25,5,251,18,5146,32175
69,12,45,11,8,4,721,18,10552,22003
70,5,16,4,13,15,577,18,1954,47069
71,15,17,91,7,0,672,18,13668,21167
72,4,45,26,8,24,900,18,5740,52008
73,27,30,87,5,2,836,18,41083,14728
74,14,29,8,8,8,467,18,13885,28439
75,10,26,23,13,6,572,17,15650,31191
76,12,21,9,9,7,768,18,4741,33093
77,17,25,53,7,13,1037,18,9644,37043
78,12,35,68,13,1,702,17,16197,13490
79,7,31,29,7,14,1173,18,3618,46763
80,9,6,92,11,3,652,18,30691,27320
81,4,16,28,20,9,190,17,4588,26317
82,7,38,9,13,5,639,17,13252,18794
83,14,27,51,12,0,474,16,10485,6481
84,4,41,0,11,14,643,18,4777,41593
85,29,8,121,3,12,908,18,7069,31141
86,18,45,54,5,17,1226,18,12196,33913
87,38,68,75,4,8,805,18,6911,14653
88,8,12,9,13,12,292,18,1452,30132
89,14,14,36,6,18,888,18,3297,55149
90,16,33,58,11,13,715,18,7361,60344
91,14,21,48,4,10,987,18,15382,24546
92,25,112,81,5,4,838,18,29193,21096
93,16,30,74,8,3,848,18,4652,24604
94,10,9,47,13,15,946,18,3688,39468
95,12,25,69,9,10,624,18,15912,35736
96,13,41,31,6,9,1731,18,12076,32780
97,24,53,64,8,0,944,17,22431,13851
98,7,9,25,14,3,605,18,11149,15356
99,9,17,23,8,18,971,18,1435,61899
100,20,12,5,8,3,758,18,9311,31061
101,26,23,51,12,9,534,18,32599,33691
102,13,11,20,12,18,462,18,5044,53343
103,21,33,70,10,15,865,18,3106,69984
104,11,42,49,14,11,398,18,4338,47042
105,10,30,36,16,8,359,18,3801,18899
106,11,24,55,9,18,665,18,5632,53842
107,16,55,16,8,12,522,18,8621,39928
108,11,29,28,12,13,539,18,5533,43024
109,25,21,119,11,5,527,18,22716,27917
110,14,66,36,8,3,665,17,3839,9555
111,7,45,51,17,11,296,18,886,34423
112,10,33,8,10,10,638,18,11050,35905
113,9,30,18,10,4,494,17,8920,12212
114,9,27,15,12,7,350,18,4046,24184
115,12,48,13,5,9,683,18,7849,29156
116,16,89,128,4,5,902,18,16182,15825
117,7,44,18,10,9,597,18,10536,23139
118,15,33,42,4,24,751,18,5833,67173
119,7,31,15,13,10,371,18,8998,27848
120,30,30,167,12,4,537,18,33891,37207
121,15,71,4,6,18,553,18,14947,62066
122,2,19,1,1,9,617,9,1698,9155
123,14,0,10,14,8,714,18,17794,30155
124,23,25,94,7,16,996,18,37430,61034
125,11,10,37,14,8,751,18,5782,48436
126,15,34,38,11,10,548,18,13472,31405
127,12,24,2,7,11,936,18,6824,44270
128,19,29,206,10,8,761,18,7767,52861
129,23,43,77,13,3,591,18,21293,20904
130,11,17,33,4,11,1027,18,4638,45900
131,13,23,59,6,5,1191,17,15628,22886
132,13,25,77,7,4,1274,18,8451,34041
133,10,17,66,7,8,990,17,7627,35384
134,6,6,3,12,4,640,18,5732,27985
135,14,31,29,10,3,1120,18,6411,34825
136,5,11,63,9,9,976,18,620,29163
137,9,2,62,5,14,1482,18,2901,37784
138,16,20,45,7,10,954,18,23085,41629
139,22,46,46,1,0,969,17,57949,4939
140,9,20,25,10,0,578,17,17923,7679
141,3,30,11,9,6,669,18,1846,28627
142,12,91,62,6,4,1422,16,4176,22217
143,1,29,27,11,12,582,18,1829,26878
144,6,26,13,5,4,830,17,4801,27346
145,15,36,36,5,12,681,18,4673,33513
146,14,25,19,5,9,790,18,5799,35269
147,20,73,48,3,2,1263,18,10305,10178
148,10,24,20,7,8,497,18,10141,27536
149,17,22,49,6,9,1179,18,11962,30752
150,7,7,4,7,6,373,15,9523,12549
151,10,13,14,10,7,562,18,3376,19075
152,18,31,59,13,10,566,18,12485,39344
153,23,80,65,10,1,1024,18,4335,9511
154,12,27,17,9,24,894,18,5349,76149
155,13,29,31,10,12,563,18,3159,28751
156,19,26,4,13,8,476,18,8638,25301
157,29,32,79,7,2,682,18,17230,16216
158,11,28,15,9,15,621,18,5444,36443
159,7,18,19,9,12,617,18,6814,17694
160,10,31,32,5,4,1193,18,4966,14654
161,10,33,11,8,7,479,18,3123,29106
162,14,33,71,3,11,2073,18,20956,20467
163,13,9,16,7,12,717,18,4414,40069
164,21,86,70,7,2,610,17,1883,29495
165,20,56,36,6,1,660,16,14926,8953
166,6,30,38,5,9,718,18,5716,35427
167,7,28,15,11,11,655,18,5621,42038
168,14,22,22,7,7,739,18,11767,19444
169,9,42,39,7,2,590,18,1624,27910
170,18,88,46,7,3,937,17,14982,19681
171,13,28,21,7,3,519,18,1565,26804
172,4,41,5,7,12,652,18,7309,28973
173,13,86,29,3,5,999,17,19102,14328
174,6,30,10,7,3,981,18,1218,27571
175,5,53,26,2,8,810,18,5420,40150
176,23,46,19,7,1,896,17,6630,12147
177,6,39,14,1,8,1972,18,24236,21864
178,13,100,46,8,5,556,16,5877,9743
179,14,46,1,8,9,759,18,9831,39994
180,15,19,61,9,9,1216,18,3562,37799
181,6,5,21,9,9,915,18,17481,21518
182,8,26,47,12,13,491,18,9077,46122
183,20,46,10,9,12,779,18,16650,69193
184,29,67,74,8,4,908,18,44682,23808
185,22,18,29,12,11,524,18,9432,55072
186,27,55,45,8,3,393,18,26274,12239
187,19,26,55,9,8,774,18,29440,26520
188,20,27,17,14,17,384,18,13272,72894
189,11,30,66,4,8,1001,18,4364,25918
190,15,36,11,12,15,549,18,4983,54079
191,30,60,167,3,7,1275,18,6619,24762
192,23,15,91,12,13,551,18,10224,26599
193,12,20,52,10,14,581,18,6343,32751
194,17,9,88,12,12,384,18,10478,47623
195,12,15,30,11,15,465,18,11739,33338
196,10,36,46,5,15,883,18,4108,52797
197,7,17,9,13,9,530,17,6238,28158
198,19,73,59,13,2,322,16,5477,14586
199,6,22,36,19,8,300,17,18261,21425
200,19,21,36,1,16,2093,18,4154,41550
201,13,28,26,6,7,911,17,7464,21230
202,12,27,12,6,7,542,17,9296,16849
203,12,23,36,8,17,353,18,22990,31439
204,22,46,23,8,3,983,16,4687,2823
205,12,34,97,8,11,813,17,2721,44238
206,9,21,57,7,1,562,17,1493,20220
207,6,15,6,17,5,287,15,8601,17090
208,1,6,13,9,2,624,14,234,11118
209,8,31,11,9,10,477,17,4307,34487
210,8,32,65,7,3,1098,17,15618,30297
211,7,44,77,7,6,639,18,21690,25813
212,10,72,53,7,4,697,15,2853,15606
213,7,18,17,7,10,572,18,11187,46995
214,8,23,39,9,4,588,17,20539,20262
215,30,75,84,6,0,678,17,78555,11081
216,11,29,62,7,13,782,18,2002,42401
217,12,32,25,4,14,1383,17,3904,47065
218,17,34,47,5,4,1417,18,8984,28488
219,17,45,65,5,6,734,17,20504,21849
220,9,25,26,9,15,637,17,4501,35281
221,10,26,39,8,8,631,18,2661,29884
222,16,57,63,5,3,895,17,9388,13461
223,15,61,44,3,2,723,16,3875,5311
224,13,43,33,9,10,462,18,3405,27267
225,21,63,57,8,1,659,15,1322,8570
226,11,8,22,6,11,611,17,3286,29466
227,9,17,35,6,7,485,14,1277,24266
228,5,26,12,8,4,852,18,1017,13434
229,8,43,42,10,11,573,16,14677,17297
230,12,21,28,5,12,460,18,6328,41094
231,19,27,73,8,1,613,18,11037,26089
232,6,23,50,8,17,625,18,2726,42092
233,16,111,50,6,7,1438,16,4474,36119
234,14,49,91,3,1,1669,17,14485,16924
235,2,31,45,7,7,628,18,9908,33330
236,4,27,31,6,4,505,17,7509,27120
237,16,101,98,8,4,668,15,7614,10532
238,7,20,40,9,11,1297,16,6421,26660
239,12,26,0,8,4,530,17,7738,27832
240,18,46,58,11,3,615,17,15256,19792
241,23,62,25,7,1,1031,18,26236,18910
242,5,20,21,9,16,1026,18,12316,38682
243,15,21,41,12,6,336,18,2200,19918
244,6,20,34,7,14,1056,18,3419,31379
245,8,36,23,3,10,1523,18,10337,31187
246,11,44,39,14,10,261,18,4874,33902
247,15,26,73,6,10,645,18,6620,39883
248,18,27,12,7,7,790,18,5910,38230
249,11,45,40,10,9,683,18,19010,27990
250,25,80,45,8,0,796,17,2459,9003
251,10,18,33,10,11,370,17,2114,27557
252,14,13,15,8,11,457,18,9040,44989
253,14,18,69,10,11,408,17,10666,26778
254,7,19,11,11,4,316,18,28064,26433
255,11,13,37,3,7,1468,18,6038,13971
256,16,27,4,9,11,732,18,9590,42408
257,20,27,56,5,9,965,18,41819,19373
258,11,25,6,9,16,511,18,9866,39133
259,18,55,31,11,4,613,16,4334,30585
260,12,32,19,5,8,1085,18,2813,33034
261,9,31,32,9,7,887,17,2932,24573
262,2,24,24,8,7,599,18,2131,25382
263,10,16,21,8,8,544,17,3492,25320
264,8,24,18,10,4,298,17,13005,12482
265,11,34,26,8,7,735,17,967,15904
266,7,19,50,3,5,1781,17,7370,25562
267,9,19,6,8,14,750,17,5223,33354
268,5,16,32,9,12,535,15,15366,17086
269,11,49,46,6,1,616,15,8979,6549
270,7,21,3,11,17,646,16,5167,38866
271,7,17,39,11,5,457,18,16519,21609
272,22,88,74,9,6,988,15,3043,21239
273,11,18,19,11,12,610,17,8313,57309
274,13,47,47,6,9,534,18,12904,29622
275,28,34,62,10,2,673,17,12469,9716
276,21,19,39,7,8,687,18,20395,27834
277,22,18,34,11,10,365,18,4349,40225
278,17,24,47,7,15,611,18,20772,38641
279,15,17,22,14,12,389,18,5929,36646
280,5,22,7,11,10,366,15,4365,22004
281,5,16,112,9,10,703,18,9605,30073
282,15,74,60,5,5,767,16,1414,21303
283,12,14,57,8,5,702,16,5833,26701
284,14,21,23,6,5,988,17,10041,21833
285,8,30,41,8,3,490,17,7381,15842
286,5,15,25,8,12,513,15,2907,26887
287,11,51,33,8,2,545,14,771,5498
288,14,29,30,6,3,915,18,4071,28679
289,6,33,96,5,19,927,18,1977,53855
290,15,12,33,2,11,1434,17,3208,30206
291,25,41,69,8,1,554,16,5001,10647
292,5,25,7,7,9,323,18,3024,30376
293,14,13,17,3,14,737,18,19149,52089
294,14,22,38,7,5,677,17,11549,15737
295,8,50,20,10,8,722,15,7320,14951
296,2,26,16,5,1,806,17,15989,6813
297,16,29,69,13,0,287,14,1413,15443
298,3,21,2,6,8,656,15,1510,25928
299,6,24,14,7,10,637,17,10747,21134
300,10,28,23,10,1,463,17,11136,15067
301,4,18,28,10,11,545,16,4273,36693
302,12,36,27,6,8,996,17,566,24367
303,11,82,46,10,1,807,14,7865,10647
304,14,28,36,12,4,294,16,18351,17089
305,12,28,7,6,8,812,17,5629,25226
306,19,47,41,2,11,1544,18,3766,44219
307,13,39,39,6,20,584,18,17182,43820
308,30,70,39,3,2,1534,17,3335,9065
309,15,27,32,8,7,338,18,9324,25913
310,2,37,13,8,2,871,15,9896,4684
311,3,26,12,6,1,1208,15,7411,27489
312,3,43,14,2,8,1738,18,5529,30571
313,9,87,42,9,1,535,14,1950,6854
314,6,11,45,9,14,908,17,3844,53855
315,20,58,43,4,3,696,17,8326,11028
316,17,52,88,2,3,1227,18,22466,18518
317,12,34,12,5,8,619,17,5048,29125
318,10,24,54,4,14,703,18,11118,30685
319,10,21,19,11,6,545,17,3045,18869
320,23,41,29,7,7,563,16,6792,14104
321,14,18,51,6,18,475,17,21037,28683
322,10,54,15,6,9,351,16,7445,20316
323,22,14,73,3,3,753,17,16318,14306
324,14,23,65,4,13,800,18,2277,34579
325,9,20,56,9,7,490,15,6953,17485
326,6,13,17,9,5,457,15,2853,20202
327,9,20,35,12,10,356,15,5755,35176
328,4,21,33,7,0,465,16,1281,26855
329,14,20,78,13,4,464,13,1032,15444
330,14,48,72,7,4,530,17,2313,19782
331,6,21,17,5,12,1506,18,13873,28284
332,12,41,2,4,8,1084,18,7865,31507
333,13,9,20,2,8,1352,17,5188,27772
334,7,45,55,3,3,824,18,6448,30307
335,12,3,27,5,1,1158,17,2049,14017
336,7,19,45,8,3,954,17,6389,15567
337,3,16,8,8,3,495,18,8494,14606
338,9,42,42,6,4,811,16,10073,6587
339,6,6,6,8,10,489,17,9384,37826
340,9,27,15,4,11,626,18,8025,36207
341,11,18,14,7,8,603,18,9464,35269
342,17,36,110,11,4,660,17,7812,20100
343,19,23,38,5,4,447,17,39590,15857
344,10,20,20,9,13,773,18,7741,32393
345,9,20,10,10,7,517,17,3853,33276
346,7,27,16,13,11,430,16,2591,35872
347,18,80,57,0,1,0,16,10942,6926
348,10,46,35,8,7,1058,16,8284,18696
349,6,19,22,9,10,552,18,2826,33001
350,9,45,16,7,1,568,17,27787,9060
351,9,54,43,7,1,765,15,5012,8503
352,4,25,42,17,27,279,18,3679,57351
353,10,10,9,7,4,772,17,3805,29423
354,5,17,34,14,10,308,18,1231,36247
355,7,27,26,7,17,888,18,10719,43812
356,12,27,7,9,11,505,18,7659,28419
357,7,29,21,9,8,620,16,1770,18763
358,8,16,3,12,16,483,18,5816,53442
359,22,43,36,6,0,769,16,11687,4008
360,10,39,37,9,10,464,18,8171,36092
361,7,73,36,9,7,603,14,380,17448
362,11,26,19,11,11,567,18,8613,39859
363,11,33,29,6,6,633,18,20103,22261
364,10,24,43,9,2,510,18,4205,13595
365,22,52,32,10,0,512,17,20493,8211
366,7,33,33,2,16,1880,18,4001,47985
367,6,21,7,9,3,352,18,7503,19517
368,16,51,22,6,10,760,18,3630,28785
369,10,75,43,9,15,354,18,11549,37520
370,7,16,39,14,3,324,16,911,26960
371,7,16,47,4,8,1163,18,2458,31999
372,6,5,10,8,6,999,15,11000,12729
373,11,58,42,10,3,448,15,3760,9459
374,2,5,1,4,10,741,16,3000,21576
375,15,18,21,6,8,445,16,11821,13345
376,12,24,26,7,9,390,16,18154,11820
377,16,19,9,6,8,1113,16,3424,31263
378,8,19,28,7,10,1126,18,1763,26957
379,11,7,15,4,4,1287,17,4047,20464
380,3,18,3,5,0,926,17,4102,12660
381,9,41,25,5,2,719,16,8129,9687
382,5,21,8,6,2,697,16,5632,13724
383,3,14,9,12,9,491,16,11211,21264
384,3,19,3,11,3,383,16,2078,14101
385,22,57,55,2,1,726,16,14230,5450
386,5,26,6,4,16,774,18,3760,35468
387,12,27,27,4,8,1108,18,23150,18678
388,5,17,34,2,8,1937,17,5893,24111
389,8,30,27,4,5,1031,18,2318,36872
390,21,35,110,9,12,667,18,17964,29596
391,26,44,60,11,2,368,18,9121,9683
392,23,20,44,12,4,530,17,734,35807
393,19,14,12,8,21,591,18,4254,88809
394,7,14,26,9,8,441,18,3866,14634
395,9,49,19,9,14,765,18,4750,23880
396,8,28,30,9,20,701,18,4388,75805
397,13,44,37,12,5,739,16,25844,20350
398,8,13,7,12,8,452,16,14566,35307
399,22,62,57,5,2,1139,16,4299,11780
400,10,14,6,3,2,720,16,2998,15976
401,5,25,5,5,9,905,16,1672,27236
402,11,16,77,2,4,669,17,16668,17518
403,5,6,17,3,3,859,14,3181,5623
404,10,21,33,1,6,1220,16,18717,13082
405,3,23,20,5,3,1223,14,11644,13464
406,3,21,29,3,1,999,16,2486,14142
407,8,19,51,5,0,1031,13,9606,10505
408,1,17,5,5,8,828,13,1944,19609
409,2,17,25,6,2,582,16,1732,24562
410,10,49,25,11,10,572,16,8678,17404
411,19,34,17,8,3,549,17,3484,15306
412,5,8,16,7,19,757,18,5083,48534
413,8,26,14,9,6,710,18,13173,34548
414,12,77,53,10,0,525,14,3192,10536
415,10,33,25,8,18,680,18,6403,51946
416,28,39,48,9,0,648,17,14609,8274
417,13,20,27,6,12,934,18,2071,41103
418,16,12,35,8,5,749,18,18538,21927
419,3,14,36,7,10,595,18,14572,27712
420,13,18,19,11,4,294,15,4338,19143
421,6,19,9,9,11,528,17,8385,22826
422,14,52,59,7,7,611,15,2071,25436
423,11,15,54,8,2,737,15,3139,19600
424,17,26,20,2,7,1264,17,9313,29066
425,9,11,5,9,3,533,16,3923,21601
426,27,80,37,6,0,962,15,10981,5650
427,10,18,14,7,11,498,17,8778,28888
428,9,15,26,4,15,1414,16,10995,24673
429,16,35,46,5,8,879,17,16178,24967
430,19,34,107,10,5,638,17,5194,16442
431,11,25,59,9,11,826,17,1910,27333
432,13,20,0,8,5,620,17,11537,17178
433,10,11,11,9,22,569,18,10832,54252
434,15,21,55,13,7,573,17,4003,24437
435,11,27,38,8,6,659,18,5312,23629
436,11,18,41,13,11,296,17,1214,30029
437,14,80,73,12,16,310,16,2174,50969
438,18,26,45,7,7,909,16,4912,17742
439,11,38,3,10,8,611,16,812,25075
440,8,31,6,7,9,415,18,3142,28150
441,6,75,20,7,1,617,15,9460,9623
442,7,17,6,6,10,1056,17,6712,25255
443,9,11,9,7,9,583,17,5520,28571
444,12,63,38,8,3,535,15,3077,10822
445,22,47,30,7,1,562,14,15431,8533
446,12,23,3,7,9,726,16,6250,31710
447,18,27,9,5,5,1024,16,2492,21923
448,5,21,8,9,11,418,17,7770,25349
449,9,15,11,4,9,1407,17,3258,20815
450,13,45,30,3,9,595,16,22688,16770
451,7,21,37,6,4,697,15,2358,21859
452,9,22,37,2,10,1684,16,6294,23339
453,5,17,16,1,14,1109,16,5739,27577
454,11,36,17,2,0,627,14,9222,8239
455,1,5,11,10,2,792,13,1483,13975
456,5,13,76,5,0,825,13,2154,10980
457,3,23,9,12,7,321,13,11399,21374
458,2,15,15,5,2,596,15,1175,14001
459,5,18,111,6,3,733,16,11986,21512
460,11,17,19,13,5,291,15,3910,28313
461,13,19,72,11,14,401,18,4236,36992
462,7,10,29,9,7,612,17,6378,13947
463,25,30,56,11,4,442,15,6335,18998
464,12,17,21,6,10,1177,17,1642,26053
465,31,59,46,9,5,575,17,16910,6981
466,7,4,5,9,4,525,18,9450,18083
467,16,15,6,6,7,557,17,12462,16684
468,18,31,51,8,21,487,18,6408,65577
469,17,15,26,9,13,635,18,8447,41901
470,16,26,64,13,5,319,15,18400,11702
471,2,21,27,10,16,480,17,2007,27614
472,8,14,33,11,17,316,17,4311,28919
473,14,19,35,5,4,990,16,4179,17942
474,15,19,38,7,2,1114,17,3826,10661
475,10,9,59,9,12,430,18,1134,40550
476,13,22,34,5,10,722,17,11052,17730
477,21,18,12,8,6,513,16,3403,22952
478,15,19,4,12,12,470,15,1146,28186
479,23,57,45,11,6,530,15,1901,21975
480,20,54,97,5,0,891,17,23635,22703
481,6,18,14,8,11,631,17,4579,27947
482,8,30,30,5,16,719,18,8217,50746
483,2,31,20,1,5,1801,18,7648,15820
484,21,77,39,4,0,773,16,12697,3955
485,9,13,48,6,7,716,16,8380,19209
486,8,17,22,7,6,744,18,1152,38817
487,7,23,0,7,7,418,16,7117,18997
488,15,50,37,7,2,716,15,3391,8830
489,12,18,29,5,1,797,18,2436,9873
490,6,13,23,8,7,796,16,2903,24232
491,6,27,5,5,5,1078,17,9480,18022
492,2,11,23,9,4,563,18,3845,14738
493,6,26,5,9,13,447,18,9648,34150
