,assists,visionScore,timeCCingOthers,deaths,kills,longestTimeSpentLiving,champLevel,totalHeal,totalDamageDealtToChampions
494,9,44,43,8,2,1124,15,1165,9877
495,11,58,34,4,2,998,17,3061,10389
496,8,47,20,8,11,565,18,3599,29075
497,6,21,48,5,5,815,17,2330,19771
498,10,18,39,5,5,791,18,3068,27435
499,4,17,11,9,16,595,17,16844,28910
500,9,28,19,3,5,1150,15,7514,12174
501,6,32,7,1,8,2038,15,7130,28583
502,14,21,32,9,2,656,16,7279,19640
503,8,19,33,2,6,882,16,1323,34747
504,18,65,51,2,0,1795,14,37481,6312
505,10,64,23,5,2,881,13,3796,6632
506,5,33,8,3,7,888,15,2752,23479
507,9,25,43,5,3,676,15,9556,15641
508,6,29,18,4,4,1177,16,3861,21110
509,10,33,54,4,1,1343,16,12346,16160
510,11,20,28,3,6,1007,15,3278,23015
511,4,16,6,7,4,402,16,5166,10565
512,15,19,54,4,6,893,15,6989,22666
513,12,10,7,1,9,1203,16,6587,20859
514,8,23,31,3,14,1168,16,13958,27245
515,9,52,38,6,1,896,14,7983,9058
516,6,6,21,6,3,657,14,10713,12260
517,1,17,12,10,3,287,14,3921,12713
518,2,20,48,8,10,692,17,8781,33191
519,2,21,12,9,1,620,14,1758,9027
520,7,15,21,8,10,606,17,882,28646
521,22,46,41,7,0,599,16,4981,7247
522,3,18,10,13,11,498,16,2823,28072
523,8,20,24,6,5,604,17,4095,16228
524,3,18,9,13,8,736,17,9492,20009
525,25,20,48,6,8,656,17,3898,26607
526,14,35,50,7,11,409,18,6655,39954
527,10,24,11,8,14,464,18,1409,26851
528,16,26,53,9,8,590,17,7319,27117
529,18,26,21,4,6,787,18,7680,12030
530,13,14,29,9,7,741,17,4868,30676
531,9,14,31,13,7,269,15,6225,26908
532,18,80,58,8,2,512,16,4324,9379
533,8,13,34,4,6,862,18,3698,35152
534,5,19,25,11,12,319,17,16397,23063
535,11,21,50,8,18,656,18,2219,49786
536,21,62,84,3,4,981,17,13223,15950
537,12,39,38,5,11,780,18,4862,26786
538,18,21,50,8,5,432,18,17370,21211
539,18,8,3,10,7,686,17,9375,30040
540,22,65,19,5,0,815,15,7464,7033
541,8,16,16,1,11,1309,18,35015,40545
542,9,22,15,6,7,766,16,2236,21968
543,3,21,4,4,10,694,16,3224,19967
544,16,72,42,2,2,1137,16,12422,15070
545,7,21,13,9,7,861,13,1850,21480
546,12,19,30,6,0,504,14,9572,9395
547,2,20,7,5,9,863,16,1882,23596
548,4,24,23,5,2,767,16,8738,19545
549,13,45,26,5,0,866,13,11215,6179
550,8,23,20,6,20,378,18,8361,42021
551,19,24,88,5,4,619,17,14458,23472
552,18,29,48,4,9,606,18,14475,39827
553,13,32,11,3,7,1150,18,20358,20033
554,25,39,55,9,1,291,16,9751,11812
555,7,16,106,6,9,650,16,13561,27749
556,14,43,34,10,1,465,13,6872,9681
557,13,16,10,9,6,452,15,3411,32970
558,9,36,25,9,6,605,16,4849,31520
559,6,34,30,7,5,774,16,9495,21340
560,0,29,26,11,7,575,15,3447,16834
561,4,19,32,5,1,903,15,7689,13157
562,5,76,45,3,0,694,12,3172,4089
563,2,17,3,5,2,796,14,5627,13662
564,3,19,76,1,2,991,14,9618,22637
565,4,29,17,1,11,1333,17,1900,28141
566,7,21,20,3,9,983,15,3396,23810
567,10,21,7,5,2,746,15,11325,13192
568,17,65,46,2,2,725,15,3567,11082
569,12,15,53,1,1,628,16,11452,10821
570,12,39,22,6,5,632,14,3905,22347
571,1,27,10,2,7,704,18,10707,24234
572,8,16,31,3,9,1015,16,17268,23569
573,15,66,35,4,0,637,14,13532,7577
574,5,21,28,4,7,742,15,988,19349
575,7,20,16,3,9,863,16,6565,20460
576,13,29,32,5,1,629,17,3120,15623
577,10,38,33,5,1,703,13,1168,17467
578,6,22,53,5,4,586,16,13454,33368
579,3,49,17,10,4,420,13,6524,9410
580,7,9,13,7,1,446,16,4918,14232
581,4,13,7,6,3,778,13,4901,13742
582,2,27,21,7,5,813,14,15476,11736
583,2,58,18,7,3,531,13,1012,10541
584,1,12,32,9,0,849,14,1725,15517
585,13,25,45,3,11,970,15,6066,22461
586,18,23,28,2,7,1123,16,10718,17003
587,19,35,39,1,3,973,15,2940,16970
588,10,29,47,2,6,1377,16,6010,15215
589,5,27,17,4,9,552,17,4112,16552
590,22,58,61,4,3,1468,15,3432,8919
591,16,20,54,5,11,780,18,12507,26842
592,8,28,55,8,12,485,17,826,38607
593,18,13,57,10,3,448,16,6123,19236
594,6,22,10,5,14,1002,17,8147,28143
595,9,9,21,10,6,574,16,7098,21597
596,5,17,134,9,11,1045,16,15307,23190
597,11,20,38,7,9,1003,17,2143,29275
598,13,25,23,10,4,675,15,3581,20432
599,13,50,35,7,1,427,15,12086,4347
600,13,23,44,2,6,536,17,13156,25800
601,13,15,20,5,7,359,18,2734,27012
602,17,53,48,5,1,892,15,8337,7737
603,10,25,11,4,7,786,17,3765,18512
604,7,13,9,5,12,627,18,19471,26484
605,6,37,26,6,6,746,15,15025,14164
606,9,19,82,7,6,487,17,1717,48872
607,8,15,26,8,3,580,15,5522,20650
608,13,86,45,7,1,599,13,873,7771
609,4,17,18,5,5,625,16,3175,20736
610,21,63,72,12,1,555,14,602,12731
611,11,4,17,12,7,278,15,3867,21601
612,8,17,43,10,4,355,16,17142,15676
613,8,21,34,8,9,593,16,8967,27081
614,6,22,5,11,12,516,15,2841,24261
615,10,15,10,5,25,765,18,7512,42816
616,15,16,45,9,6,580,16,12796,18492
617,18,14,39,9,6,327,15,3909,18268
618,8,49,16,4,10,545,18,7308,26602
619,22,51,65,6,6,433,16,5012,16564
620,9,11,31,6,1,1384,15,2740,15596
621,7,17,29,7,8,515,17,3849,20639
622,4,44,16,6,10,691,17,18270,18802
623,8,17,23,6,8,1085,16,7418,25511
624,18,66,44,4,1,1346,14,14878,10001
625,20,70,29,4,3,595,16,12577,7206
626,9,28,52,5,5,505,17,2413,19062
627,7,27,11,3,8,1079,17,2863,28455
628,4,29,15,8,6,565,16,10157,15883
629,12,20,12,8,7,522,17,4516,31053
630,15,95,165,11,4,607,15,4860,27472
631,19,33,63,6,7,1016,18,10131,23966
632,7,32,16,12,20,586,16,3080,34583
633,9,23,64,9,7,398,17,2435,36187
634,6,24,8,10,3,423,16,3284,22689
635,8,20,42,2,13,1214,18,1572,24223
636,8,18,11,16,5,284,16,1968,18880
637,22,20,63,7,5,709,17,31949,23817
638,3,23,13,9,24,465,17,9177,46722
639,30,54,50,7,1,858,16,2947,14470
640,6,21,24,12,10,362,18,565,29905
641,6,4,11,13,8,260,15,3332,25112
642,9,17,18,11,13,433,16,5119,22844
643,12,53,36,10,3,348,14,372,18068
644,10,17,33,9,9,776,16,5322,16202
645,9,32,25,5,7,816,16,14770,18361
646,16,6,65,9,5,613,16,1092,21341
647,8,22,7,10,24,591,18,5782,37138
648,11,13,78,7,11,533,17,16401,29550
649,12,26,29,12,8,294,16,3141,22551
650,9,11,22,8,6,1023,15,1872,17528
651,14,35,63,3,5,1296,15,112,24292
652,8,34,33,11,6,364,15,2566,27816
653,8,32,22,8,2,388,14,6948,8323
654,10,31,50,6,11,656,17,149,34851
655,15,59,33,6,4,593,15,4579,3867
656,15,16,106,5,7,1115,17,9997,19063
657,9,23,12,5,9,1189,17,2628,19089
658,7,29,9,8,7,480,16,12792,16196
659,11,30,4,6,9,504,18,6301,18628
660,6,14,6,6,3,843,17,34884,27159
661,6,40,17,2,16,1011,18,1814,31340
662,11,37,128,8,11,537,17,9653,24110
663,10,24,38,4,7,1120,16,7064,16052
664,19,57,36,3,0,617,16,11202,5541
665,5,28,12,10,5,573,16,5348,19080
666,10,32,21,8,8,420,16,6484,21335
667,0,31,15,10,3,402,16,2383,11502
668,3,11,7,4,5,1223,17,2364,28982
669,10,69,34,5,2,633,14,3824,13302
670,5,22,7,4,18,840,18,5378,32704
671,11,26,16,10,17,574,18,6383,36543
672,25,18,6,9,4,618,17,10852,6744
673,7,70,35,3,3,1020,15,3575,7381
674,12,14,8,7,7,594,18,8545,20670
675,4,6,0,7,3,889,15,4277,12396
676,10,34,45,14,15,422,17,7798,32563
677,5,25,29,11,11,438,17,5051,28257
678,13,73,72,7,2,992,15,634,13253
679,11,34,24,10,2,418,15,1731,16952
680,17,17,39,5,3,459,14,6399,11709
681,9,32,31,4,10,453,16,3496,21166
682,20,55,42,5,0,720,13,15281,5266
683,4,11,18,4,7,580,15,9244,18614
684,10,36,19,3,12,725,14,4351,23188
685,4,27,6,10,3,390,13,9033,14238
686,5,34,9,7,10,488,14,2267,24151
687,6,4,4,2,2,934,15,6095,10688
688,7,44,11,5,3,573,12,6657,13420
689,2,16,8,8,3,351,14,4638,12260
690,18,16,53,7,4,636,13,1105,10892
691,15,18,0,7,5,748,14,2482,20165
692,9,18,26,8,5,544,15,571,19910
693,11,26,0,7,4,677,15,2188,29502
694,11,24,10,7,19,1260,17,8744,33957
695,19,33,10,10,1,260,15,15049,4280
696,23,47,17,8,4,336,15,20595,14160
697,10,2,21,5,12,531,18,2483,23512
698,17,15,44,10,4,586,15,11575,18975
699,16,9,10,5,13,955,16,3804,26391
700,12,27,5,5,4,855,17,3396,15685
701,7,8,16,5,10,893,17,12901,24634
702,10,20,46,4,9,775,16,6568,21337
703,9,17,19,7,10,714,16,6790,29229
704,18,44,17,5,3,637,15,21273,13061
705,12,32,77,8,8,520,15,787,26320
706,8,21,27,7,1,649,14,10060,7955
707,11,15,36,9,5,455,16,565,16584
708,7,16,28,5,5,858,17,1082,18786
709,13,8,19,7,7,518,15,3552,24075
710,6,8,35,6,3,434,15,3557,20195
711,4,5,10,6,3,723,14,3155,13231
712,6,8,33,7,6,694,13,9983,21939
713,7,5,59,8,2,744,12,2731,9937
714,5,9,1,11,6,244,13,2255,20268
715,11,7,27,3,15,708,16,12601,29049
716,9,10,17,6,6,486,14,9295,14522
717,11,12,48,3,2,1131,13,17382,6222
718,7,15,18,3,11,951,15,2077,26723
719,11,4,12,5,4,673,16,3142,23984
720,12,27,61,7,1,614,14,795,14594
721,7,25,32,13,6,339,15,19741,13652
722,11,7,0,8,4,561,16,6451,29758
723,7,18,24,8,8,713,15,2715,26397
724,3,15,21,6,6,621,16,2200,17272
725,20,34,86,4,8,1323,17,16829,23185
726,14,28,19,6,12,618,16,14663,24320
727,14,8,35,6,3,943,16,8986,15390
728,16,20,17,6,14,938,15,4743,28194
729,29,16,48,3,5,1334,15,1471,11533
730,14,58,31,7,4,556,14,2768,11111
731,13,19,26,6,7,1192,16,2355,20565
732,5,22,3,8,12,779,17,9052,22447
733,10,11,30,5,11,559,15,4582,34818
734,15,19,24,10,2,496,15,1147,22914
735,6,16,16,7,11,1101,16,997,24428
736,16,20,32,6,8,937,16,12044,23695
737,7,21,25,8,9,836,15,2913,24345
738,11,22,15,9,1,500,14,4161,9922
739,7,13,30,6,7,662,15,3504,16929
740,5,52,44,7,4,576,13,1018,13877
741,4,16,15,10,5,401,14,1679,15819
742,7,23,1,5,2,561,13,3646,13648
743,2,23,7,6,8,739,16,7180,14789
744,3,11,18,3,5,1119,15,7787,12790
745,4,9,26,10,1,209,16,1064,16006
746,5,18,17,4,9,783,15,2333,16890
747,11,16,17,6,7,619,16,12336,15968
748,8,14,4,1,13,1146,16,7082,29940
749,15,26,23,3,1,724,14,1319,5587
750,7,16,50,8,7,447,17,3426,41704
751,16,76,37,9,0,418,14,10510,6004
752,10,50,25,6,2,880,16,9567,10943
753,2,30,52,11,0,226,17,6277,14673
754,3,40,8,7,13,848,16,4006,27708
755,8,16,4,6,13,414,18,6307,35611
756,8,35,42,2,8,1255,18,6676,23950
757,18,22,21,4,11,753,17,11123,31539
758,16,20,60,5,7,755,18,2479,24733
759,27,59,77,5,2,646,17,22233,8371
760,10,9,19,14,13,308,16,3403,25104
761,5,26,6,3,14,1103,18,1819,29101
762,2,2,13,15,3,262,15,838,7101
763,11,16,45,12,10,587,15,20479,28705
764,23,15,84,11,6,490,16,4708,18800
765,16,21,26,10,15,324,16,4527,29793
766,6,26,4,9,16,388,18,3151,32790
767,9,15,13,11,11,395,17,10048,26966
768,15,21,43,11,4,303,15,4333,6713
769,15,24,8,8,8,475,17,4564,30255
770,11,52,68,8,0,472,14,6003,12156
771,8,8,49,8,6,632,14,2157,20402
772,6,23,18,11,5,575,15,7552,13333
773,5,21,30,9,9,596,16,1439,32118
774,6,21,0,8,9,686,15,1487,21220
775,7,23,19,7,13,383,18,830,24057
776,8,17,30,9,8,420,16,7288,21361
777,16,22,79,5,12,827,18,3721,25376
778,10,3,12,5,3,645,14,5341,8317
779,17,31,49,3,8,841,17,10540,21677
780,14,107,87,8,2,572,15,2712,11708
781,14,28,55,8,3,1035,16,6977,14639
782,9,21,8,10,6,495,17,6845,31878
783,8,24,46,13,3,497,16,3035,29085
784,5,12,28,5,14,952,17,5460,34948
785,13,13,17,8,9,599,18,12421,30557
786,18,17,73,3,8,1071,18,11976,23413
787,28,73,60,5,3,951,16,6480,14795
788,15,22,66,5,15,1211,17,6734,45988
789,20,24,33,7,9,492,17,8251,22340
790,5,18,6,7,5,886,16,2390,18462
791,6,14,30,6,6,854,17,1734,26265
792,6,22,5,9,10,653,17,8564,31459
793,10,19,22,9,11,425,17,13261,27614
794,16,83,40,8,2,800,16,4314,10618
795,23,103,33,7,2,551,16,16603,9273
796,10,46,18,9,8,483,17,6306,35914
797,14,37,22,6,5,682,17,919,30640
798,7,34,16,8,15,544,17,6429,37452
799,8,9,15,4,8,874,18,19023,29014
800,5,17,27,6,3,627,14,5395,18651
801,4,9,10,6,3,505,14,2447,15415
802,6,55,22,4,0,610,12,5578,2325
803,3,18,36,8,10,451,14,12755,20328
804,5,19,28,10,0,325,14,2537,14619
805,6,25,27,5,10,537,16,1026,25942
806,8,31,39,2,6,919,16,12334,29260
807,4,39,7,7,4,532,17,8022,15817
808,17,49,43,0,1,0,14,5255,7305
809,3,19,6,2,13,451,15,2762,19550
810,3,22,37,5,6,615,18,929,25852
811,8,22,3,4,7,758,18,5471,23838
812,7,28,40,10,5,568,16,4304,22889
813,10,18,40,8,4,456,17,9529,21452
814,12,41,36,9,1,617,16,7501,10713
815,15,63,66,3,4,1153,16,7675,15719
816,10,32,31,6,3,713,18,11622,15554
817,8,8,16,4,10,1479,17,3703,34699
818,6,32,10,8,11,1164,18,8504,35336
819,3,27,15,3,8,1062,16,12349,19248
820,7,15,45,9,11,766,16,17052,30086
821,23,65,56,5,1,1043,15,7005,8407
822,2,31,5,7,6,572,17,26714,21424
823,8,23,26,6,8,841,16,213,24782
824,9,22,7,5,9,985,16,3674,25227
825,11,15,10,9,6,444,15,6944,30523
826,10,11,27,6,8,572,17,6220,26331
827,23,27,61,6,2,557,16,2066,9122
828,10,23,9,6,7,538,16,15304,16913
829,6,20,35,8,9,662,17,7348,22031
830,5,14,14,10,9,369,14,819,14861
831,13,48,75,6,3,822,12,1065,11732
832,10,19,21,9,6,461,14,1945,19396
833,6,20,58,7,1,827,12,12764,13646
834,3,22,34,11,3,245,13,380,19215
835,1,14,6,5,12,490,17,8297,17917
836,8,11,45,8,0,433,14,10035,4419
837,11,25,13,3,11,672,15,5410,24163
838,11,14,12,3,2,822,15,9383,9007
839,8,24,20,3,18,1078,15,925,31164
840,3,34,7,11,2,768,14,8104,13342
841,3,60,32,8,2,1014,13,1886,5165
842,4,17,40,4,1,765,14,2934,13036
843,2,22,21,5,4,936,16,969,16523
844,2,16,46,5,1,1444,16,392,22235
845,8,17,21,1,3,388,17,12375,22928
846,12,29,69,2,9,1205,17,1351,23564
847,9,38,6,1,11,231,18,14167,25929
848,22,39,31,1,2,492,15,7395,4876
849,8,18,17,5,8,1191,16,3553,24515
850,8,19,40,2,21,826,17,8632,49645
851,6,28,29,4,11,1144,17,2969,31581
852,11,21,24,5,6,520,16,1900,18808
853,12,29,0,5,3,560,16,12234,11294
854,22,32,88,3,3,1202,16,5523,12122
855,4,33,14,9,3,565,14,6301,7387
856,8,14,4,7,1,962,15,6453,10221
857,14,46,49,9,0,664,13,6300,4221
858,5,10,17,12,5,399,15,6291,14133
859,7,11,43,7,10,471,15,1031,25689
860,12,12,34,5,6,548,15,10152,10563
861,5,19,19,6,0,349,14,4373,8237
862,19,36,56,1,2,257,14,739,19005
863,5,11,8,1,25,499,17,38035,48742
864,11,14,8,7,6,463,15,6493,17745
865,6,38,44,7,1,668,11,5240,7321
866,6,15,54,8,4,385,13,4533,17984
867,1,9,27,11,5,328,13,120,17447
868,1,12,28,5,4,762,13,1492,14760
869,3,15,29,9,6,409,11,10735,13663
870,5,25,24,3,7,1349,15,3105,16408
871,9,40,26,3,0,757,13,8514,3254
872,3,7,16,7,3,730,13,3113,14745
873,3,23,12,8,3,624,13,4594,7063
874,3,37,18,9,1,334,13,4987,16300
875,4,18,7,4,7,730,15,5330,19227
876,16,45,28,2,3,760,15,8802,7999
877,5,19,7,3,8,763,15,7789,14229
878,7,20,5,2,10,1537,16,2584,27643
879,10,35,33,3,2,678,16,1730,18580
880,19,21,52,9,5,400,16,1067,10167
881,6,13,30,13,7,581,15,601,21132
882,10,20,17,13,9,504,16,16699,30425
883,9,36,26,4,10,693,17,11723,24758
884,10,22,8,10,5,668,16,4524,25836
885,7,31,8,10,14,919,17,2782,35426
886,19,24,44,8,2,447,17,4521,17301
887,12,60,34,7,17,646,18,9547,34626
888,9,26,20,4,15,627,18,3036,33837
889,21,59,36,7,1,576,17,8088,14505
890,3,20,6,11,7,423,14,1434,11229
891,10,78,16,9,1,738,13,7073,14774
892,4,1,3,9,4,416,15,3866,11715
893,3,20,34,10,9,928,14,2434,21823
894,5,26,15,8,3,378,15,5904,14439
895,12,25,61,10,6,533,15,18625,17434
896,9,20,27,5,21,485,15,4033,33119
897,8,14,8,4,8,677,17,11073,9802
898,17,24,20,5,8,661,16,4593,28516
899,26,68,89,2,4,551,15,3806,20056
900,11,80,55,3,2,874,16,3901,9051
901,3,18,14,10,8,404,16,3901,28436
902,6,30,14,5,11,1401,18,10150,27274
903,5,7,6,13,8,476,17,314,24750
904,9,13,31,12,7,375,17,5334,21154
905,3,16,20,13,12,410,18,11015,44523
906,16,27,50,9,9,482,18,4742,30139
907,7,26,41,4,8,642,18,18752,24976
908,12,48,13,8,12,507,18,11138,40998
909,22,67,86,2,2,938,18,3405,12191
910,12,10,25,8,2,643,12,1618,13602
911,5,18,30,3,3,853,15,6237,17498
912,5,13,15,6,6,937,14,2430,12483
913,12,21,73,6,2,937,13,15398,13358
914,7,71,31,6,7,690,11,5396,11254
915,13,47,48,4,1,787,13,4418,8239
916,14,20,73,6,12,622,15,2877,40639
917,12,19,6,2,9,768,15,5393,33542
918,17,16,33,5,2,850,14,8995,11384
919,3,14,20,3,5,595,16,2414,17237
920,3,50,14,5,8,951,16,5849,27169
921,3,24,2,7,4,622,13,2291,17074
922,5,38,28,5,2,793,12,119,19029
923,3,37,11,6,0,667,13,10302,5664
924,4,17,7,4,2,1151,14,5161,12696
925,6,41,7,2,18,1432,17,5653,50014
926,5,15,9,4,0,597,14,2800,9744
927,21,48,36,2,0,594,15,21852,4421
928,6,14,14,4,3,1111,15,4449,7752
929,5,53,43,4,6,716,15,24309,12733
930,3,16,31,4,3,916,16,2825,18400
931,6,21,9,9,1,365,14,1014,12321
932,13,47,41,5,0,641,13,1433,6326
933,5,17,22,7,10,647,15,3702,27282
934,9,22,20,3,6,931,15,26856,15127
935,9,24,10,6,4,681,14,2580,22149
936,10,18,15,3,3,869,16,7749,8609
937,7,23,5,3,13,720,17,20434,32895
938,18,33,33,6,0,819,14,25994,4241
939,7,27,38,3,8,1074,17,963,28081
940,9,24,50,4,13,786,18,3732,30789
941,16,43,90,6,0,440,14,33171,13201
942,5,12,18,8,5,726,15,968,13502
943,6,20,1,8,3,631,15,2976,21820
944,9,23,32,11,8,475,15,6446,21227
945,10,19,20,7,7,586,16,3420,25103
946,12,15,19,5,8,719,17,3092,19903
947,5,22,53,7,8,693,17,2363,32294
948,26,66,40,4,0,592,16,10232,8859
949,9,23,33,6,14,576,17,8499,25673
950,15,25,45,1,3,1371,14,3052,11640
951,13,18,21,1,7,1229,15,11749,16080
952,8,14,38,4,15,749,16,1994,41326
953,3,13,23,3,4,1018,14,1633,15749
954,8,8,16,5,6,742,14,4069,18083
955,4,15,22,11,2,348,13,1706,13721
956,5,23,29,5,4,867,15,5089,10389
957,2,17,21,7,0,887,13,1147,9028
958,3,21,10,3,6,857,14,4895,22967
959,6,29,67,9,2,588,13,1745,13345
960,5,40,19,7,1,697,13,419,6878
961,3,20,31,6,4,992,14,1573,18065
962,6,12,8,10,3,458,14,4860,20546
963,3,22,82,9,1,425,14,10398,21261
964,0,33,6,7,6,872,16,8197,20376
965,14,21,19,3,6,1306,15,6455,18501
966,7,33,31,2,16,1003,16,4114,29762
967,28,74,22,0,1,0,15,18581,8477
968,7,15,34,4,7,565,17,5877,19461
969,17,20,16,6,9,575,16,13177,27528
970,7,4,11,3,6,1375,14,1116,18106
971,3,10,4,5,1,690,15,8096,12608
972,4,24,23,8,2,486,14,3288,9102
973,3,21,7,6,11,780,15,8230,20973
974,7,34,9,4,1,620,14,1416,4108
975,7,32,109,4,6,831,15,9040,13916
976,3,19,8,6,5,618,14,1962,7934
977,5,16,9,3,4,909,15,895,17988
978,9,26,36,4,2,620,15,6673,7264
979,6,27,40,4,8,504,18,7599,31868
980,12,23,20,6,4,468,15,10100,10478
981,20,74,27,6,3,718,15,9110,12759
982,8,38,52,6,12,713,16,3268,25822
983,9,38,22,6,1,564,16,1428,13698
984,2,23,44,4,13,717,18,2280,22829
985,6,21,15,11,6,234,14,4149,14527
986,3,17,16,8,3,520,15,1138,14186
987,13,68,37,5,1,940,13,5695,6400
988,5,28,12,5,12,758,16,2254,26036
989,4,41,5,4,6,1212,15,9534,13619
990,13,21,36,7,2,615,15,6174,11869
991,4,22,37,10,14,311,16,7719,27879
992,8,8,31,9,4,651,15,389,23265
993,7,15,16,10,6,372,14,4299,21016
994,17,43,65,8,3,582,14,11122,9126
995,7,18,37,7,9,421,16,1818,19340
996,18,44,34,7,0,656,14,8300,7776
997,11,22,17,4,11,856,17,5130,27762
998,18,23,40,5,11,601,16,8415,30916
999,15,23,33,6,13,621,17,8427,35979
